marca,modelo,ano_modelo,ano_fabr,quilometragem,cor,estado,cambio,motor,tipo_combustivel,preco
CHEVROLET,SPIN,2022.0,2021,22180.0,Branco,SP,MANUAL,1.8,FLEX,84890.0
CHEVROLET,ONIX,2021.0,2020,32071.0,Preto,SP,AUTOMÁTICO,1.0,FLEX,79300.0
CHEVROLET,ONIX,2021.0,2020,34003.0,Branco,SP,AUTOMÁTICO,1.0,FLEX,79200.0
CHEVROLET,TRAILBLAZER,2021.0,2020,9879.0,Preto,SP,AUTOMÁTICO,2.8,DIESEL,289900.0
CHEVROLET,CRUZE,2018.0,2018,60000.0,Preto,SP,AUTOMÁTICO,1.4,FLEX,89900.0
CHEVROLET,TRAILBLAZER,2020.0,2019,56000.0,Cinza,SP,AUTOMÁTICO,2.8,DIESEL,228990.0
CHEVROLET,PRISMA,2019.0,2019,65253.0,Prata,MG,MANUAL,1.0,FLEX,57700.0
CHEVROLET,S10,2019.0,2018,151044.0,Branco,SP,AUTOMÁTICO,2.5,FLEX,128000.0
CHEVROLET,ONIX,2018.0,2018,73000.0,Branco,RJ,MANUAL,1.0,FLEX,46900.0
CHEVROLET,TRACKER,2022.0,2021,6000.0,Vermelho,SP,AUTOMÁTICO,1.2,FLEX,134900.0
CHEVROLET,COBALT,2018.0,2018,67177.0,Azul,SP,AUTOMÁTICO,1.8,FLEX,66490.0
CHEVROLET,JOY,2020.0,2019,37204.0,Prata,SP,MANUAL,1.0,FLEX,52890.0
CHEVROLET,TRACKER,2021.0,2020,41100.0,Branco,SP,AUTOMÁTICO,1.2,FLEX,128900.0
CHEVROLET,ONIX,2022.0,2021,37667.0,Branco,SP,AUTOMÁTICO,1.0,FLEX,90760.0
CHEVROLET,CRUZE,2012.0,2011,129000.0,Prata,SP,AUTOMÁTICO,1.8,FLEX,54900.0
CHEVROLET,S10,2022.0,2021,34044.0,Prata,SP,MANUAL,2.8,DIESEL,188540.0
CHEVROLET,TRACKER,2021.0,2020,20000.0,Azul,SP,AUTOMÁTICO,1.0,FLEX,106890.0
CHEVROLET,CRUZE,2018.0,2017,59000.0,Cinza,SP,AUTOMÁTICO,1.4,FLEX,87900.0
CHEVROLET,CRUZE,2013.0,2012,75000.0,Preto,SP,AUTOMÁTICO,1.8,FLEX,56890.0
CHEVROLET,SPIN,2021.0,2020,220000.0,Branco,PR,MANUAL,1.8,FLEX,59900.0
CHEVROLET,ONIX,2022.0,2022,9800.0,Branco,SP,AUTOMÁTICO,1.0,FLEX,104900.0
CHEVROLET,CRUZE,2015.0,2015,129000.0,Azul,SP,AUTOMÁTICO,1.8,FLEX,62900.0
CHEVROLET,CRUZE,2019.0,2018,49842.0,Branco,PR,AUTOMÁTICO,1.4,FLEX,96900.0
CHEVROLET,CRUZE,2015.0,2015,83045.0,Preto,SP,MANUAL,1.8,FLEX,64800.0
CHEVROLET,ONIX,2020.0,2020,19900.0,Vermelho,SP,AUTOMÁTICO,1.0,FLEX,82999.0
CHEVROLET,ONIX,2020.0,2020,24884.0,Prata,SP,AUTOMÁTICO,1.0,FLEX,84900.0
CHEVROLET,ONIX,2018.0,2018,95000.0,Prata,SP,AUTOMÁTICO,1.4,FLEX,64900.0
CHEVROLET,TRACKER,2017.0,2017,49000.0,Preto,RJ,AUTOMÁTICO,1.4,FLEX,84900.0
CHEVROLET,CRUZE,2022.0,2021,23601.0,Branco,SP,AUTOMÁTICO,1.4,FLEX,120800.0
CHEVROLET,CRUZE,2016.0,2016,110359.0,Branco,SP,AUTOMÁTICO,1.8,FLEX,67990.0
CHEVROLET,ONIX,2015.0,2014,129000.0,Prata,SP,MANUAL,1.4,FLEX,49900.0
CHEVROLET,ONIX,2021.0,2021,31991.0,Prata,SP,AUTOMÁTICO,1.0,FLEX,91780.0
CHEVROLET,ONIX,2020.0,2020,26000.0,Preto,MG,AUTOMÁTICO,1.0,FLEX,78900.0
